State,Total Schools,Total Hospital,Hospital overall rating,AvgUnemployment,Avfsqft,AverageRent,AverageHousePrice
Alabama,1659,63,3.079365079,7.37282011,0.627930233,945.0380435,115063.4259
Alaska,498,7,3,9.590846682,1.289341463,1589.487952,235543.0556
Arizona,2468,36,2.805555556,8.461754386,0.758511628,1193.345745,180743.9815
Arkansas,1123,34,2.852941176,6.515929825,0.605209302,947.3315789,98659.25926
California,10415,167,2.778443114,8.495099819,1.381348837,2147.404255,384376.8519
Colorado,1872,41,3.512195122,5.132414369,1.040255814,1490.580247,228818.5185
Connecticut,1309,23,2.695652174,5.542763158,1.147511628,1732.368421,240750.9259
Delaware,228,2,3.5,5.166666667,0.902325581,1274.429412,192427.7778
DistrictofColumbia,260,3,2,7.163157895,2.089046512,2436.202128,359063.4259
Florida,4517,151,2.701986755,6.076276512,0.943744186,1567.150602,165507.8704
Georgia,2361,88,2.943181818,6.922608408,0.674162791,1136.807292,136850.9259
Hawaii,292,10,3.1,4.689473684,1.792232558,2146.487952,437947.2222
Idaho,748,11,3.545454545,5.849162679,0.673414634,992.0060976,154416.6667
Illinois,4242,127,3.125984252,6.604076367,1.075093023,1554.239583,164655.5556
Indiana,1923,85,3.517647059,6.076659039,0.690418605,944.8105263,111113.8889
Iowa,1395,50,3.42,4.302498671,0.842325581,1017.51875,101649.0741
Kansas,1353,49,3.306122449,4.306466165,0.748511628,1020.0875,115895.5752
Kentucky,1592,57,2.947368421,7.364210526,0.735976744,971.3924731,115068.9815
Maine,623,23,3.347826087,5.816447368,0.955204819,1509.073171,184081.9444
Massachusetts,1889,30,3.166666667,5.443233083,1.227093023,2179.670213,307002.3148
Michigan,3617,91,3.153846154,8.304502219,0.84844186,936.4459459,119197.6852
Minnesota,2536,39,3.58974359,5.236479129,1.097465116,1394.236559,177473.1481
Mississippi,1111,31,2.580645161,8.213799743,0.642744186,963.3705882,98198.61111
Missouri,2427,52,3.076923077,6.138718535,0.794883721,925.9473684,133073.1481
Montana,835,14,3.214285714,4.961278195,0.876962963,1018.298611,159637.037
Nevada,705,20,2.6,6.646439628,0.760488372,1199.147368,198410.6481
NewHampshire,488,20,3.45,3.956315789,1.008883721,1430.842105,211926.8519
NewJersey,2597,39,2.641025641,6.314786967,1.182302326,1816.815789,283602.3148
NewMexico,932,23,2.739130435,6.424401914,0.670348837,1130,165304.1667
NewYork,4884,92,2.369565217,6.005602716,1.114046512,2993.946429,269655.2
NorthCarolina,2623,48,3,7.135842105,0.70327907,1081.921053,138501.8519
NorthDakota,535,12,3.166666667,3.65590864,1.011631579,1293.629032,162562.2642
Ohio,3718,114,3.368421053,6.887799043,0.745302326,974.6702128,116122.6852
Oklahoma,1815,44,3.068181818,4.899863295,0.671697674,998.5568182,88597.22222
Oregon,1252,41,3.048780488,7.696491228,0.926837209,1377.315476,217632.8704
Pennsylvania,3099,108,3,6.175490966,0.862930233,1306.805263,137380.5556
RhodeIsland,307,10,3.1,6.24,1.129418605,1675.131579,226928.2407
SouthCarolina,1267,38,3.210526316,8.120022883,0.726139535,1172.606383,123513.4259
SouthDakota,735,8,3.875,4.063999509,0.91005,1023.198113,137618.0556
Tennessee,1887,57,3,7.168199446,0.697232558,1126.697917,112750.463
Texas,9366,159,3.226415094,5.540074596,0.788465116,1356.581967,125908.3333
Utah,1034,21,3.428571429,5.315426497,0.93146988,1222.268293,200418.9815
Virginia,2160,54,3.074074074,5.226041734,0.913976744,1509.378947,212733.3333
Washington,2435,32,2.96875,7.71754386,0.95827907,1510.583333,245070.3704
WestVirginia,754,29,2.75862069,6.84,0.694860465,1070.68125,75201.85185
Wisconsin,2299,27,3.555555556,5.882236842,0.848790698,1127.87931,145728.2407
Wyoming,374,12,3,4.339816934,0.92464,1142.325581,169681.9444